"age","after","received_coupon","revenue"
"20-30",0,0,8.38
"20-30",0,0,9.71
"20-30",0,0,10.82
"20-30",0,0,8
"20-30",0,0,10.69
"20-30",0,0,10.36
"20-30",0,0,10.47
"20-30",0,0,12.53
"20-30",0,0,7.86
"20-30",0,0,12.83
"20-30",0,0,8.81
"20-30",0,0,8.04
"20-30",0,0,8.87
"20-30",0,0,10.81
"20-30",0,0,10.6
"20-30",0,0,9.68
"20-30",0,0,8.39
"20-30",0,0,9
"20-30",0,0,12.75
"20-30",0,0,10.7
"20-30",0,0,9.14
"20-30",0,0,8.42
"20-30",0,0,9.89
"20-30",0,0,6.97
"20-30",0,0,9.33
"20-30",0,0,8.82
"20-30",0,0,12.62
"20-30",0,0,12.32
"20-30",0,0,10.16
"20-30",0,0,8.03
"20-30",0,0,12.1
"20-30",0,0,12
"20-30",0,0,11.76
"20-30",0,0,11.77
"20-30",0,0,9.6
"20-30",0,0,11.71
"20-30",0,0,12.9
"20-30",0,0,10.38
"20-30",0,0,8.34
"20-30",0,0,11.89
"20-30",0,0,11.87
"20-30",0,0,9.68
"20-30",0,0,13.7
"20-30",0,0,8.71
"20-30",0,0,11
"20-30",0,0,5.77
"20-30",0,0,9.98
"20-30",0,0,12.56
"20-30",0,0,9.39
"20-30",0,0,8.5
"20-30",0,0,11.75
"20-30",0,0,8.68
"20-30",0,0,10.83
"20-30",0,0,6.83
"20-30",0,0,7.48
"20-30",0,0,9.39
"20-30",0,0,8.23
"20-30",0,0,13.02
"20-30",0,0,12.13
"20-30",0,0,8.73
"20-30",0,0,11.45
"20-30",0,0,12.14
"20-30",0,0,10.81
"20-30",0,0,11
"20-30",0,0,12.65
"20-30",0,0,9.34
"20-30",0,0,9.46
"20-30",0,0,12.21
"20-30",0,0,7.72
"20-30",0,0,10.67
"20-30",0,0,10.24
"20-30",0,0,11.23
"20-30",0,0,12.35
"20-30",0,0,10.83
"20-30",0,0,10.76
"20-30",0,0,11.8
"20-30",0,0,12.73
"20-30",0,0,11.07
"20-30",0,0,8.32
"20-30",0,0,9.99
"20-30",0,0,13.77
"20-30",0,0,9.6
"20-30",0,0,11.68
"20-30",0,0,12.75
"20-30",0,0,11.89
"20-30",0,0,10.29
"20-30",0,0,10.74
"20-30",0,0,8.53
"20-30",0,0,11.18
"20-30",0,0,8.53
"20-30",0,0,8.59
"20-30",0,0,8.32
"20-30",0,0,9
"20-30",0,0,12.41
"20-30",0,0,9.52
"20-30",0,0,10.16
"20-30",0,0,9.38
"20-30",0,0,11.38
"20-30",0,0,12.16
"20-30",0,0,9.88
"20-30",0,0,11.53
"20-30",0,0,9.49
"20-30",0,0,12.41
"20-30",0,0,11.5
"20-30",0,0,12.33
"20-30",0,0,11.52
"20-30",0,0,10.71
"20-30",0,0,6.5
